City,Latitude,Longitude,Annual Paper-based Demand (t),Demand Share (%),Node Type
金华 (义乌),29.31,120.08,3025697.85,34.03,Super-hub Market
上海,31.23,121.47,871274.25,9.80,Market
杭州,30.27,120.16,751584.0500000002,8.45,Market
苏州,31.3,120.59,660056.25,7.42,Market
温州,28.01,120.39,431236.75,4.85,Market
宁波,29.87,121.55,332668.35000000003,3.74,Market
合肥,31.82,117.23,316827.0,3.56,Market
绍兴,30.0,120.57,302745.80000000005,3.40,Market
嘉兴,30.75,120.75,292184.9000000001,3.29,Market
台州,28.66,121.43,286904.45,3.23,Market
南通,32.02,120.86,262262.35000000003,2.95,Market
南京,32.06,118.8,232339.80000000002,2.61,Market
宿迁,33.97,118.28,195376.65000000002,2.20,Market
徐州,34.15,117.11,188336.05000000002,2.12,Market
无锡,31.6,120.3,177775.15000000002,2.00,Market
亳州,33.84,115.78,153133.05000000002,1.72,Market
连云港,34.6,119.23,151372.90000000002,1.70,Market
湖州,30.9,120.08,146092.45000000004,1.64,Market
常州,31.77,119.98,114409.75,1.29,Market
