Metric,Value,Unit
Total Paper-based Demand (with safety),10.2261,Mt/yr
Total Collection (Tier 1+2+3),2.7747,Mt/yr
Recovery Rate,31.2035,%
Remanuf. Pulp Produced,2.0377,Mt/yr
Front-hub Sorting Waste,0.4162,Mt/yr
Central Hub Process Waste,0.0943,Mt/yr
Factory Remanuf. Waste,0.2264,Mt/yr
Total Waste,0.7370,Mt/yr
Mass Balance Check (Reman+Waste),2.7747,Mt/yr
Mass Balance Error,-0.031000,t
Mass Balance Error (%),-0.00000112,%
Effective Conversion Rate,73.44,%
Theoretical Effective Yield,73.44,%
